,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,mse_liq_density,mapd_liq_density,mae_liq_density,mse_vap_density,mapd_vap_density,mae_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mse_Tc,mapd_Tc,mae_Tc,mse_rhoc,mapd_rhoc,mae_rhoc,is_pareto
0,0.3054407607992991,0.3995672175831363,0.2794129941999181,0.301666193304402,0.1856443283435379,0.2231496414796078,0.3506980254106728,0.3208342909883875,0.1842695225036855,0.073236574291776,327.777294273625,1.3685446709924756,17.87299034666653,0.5818511208194675,1.9017820750848864,0.6426282097666682,0.1413873133830502,3.5517682663265884,0.2968617182157774,9.420199206782554,2.4291486228711032,3.043186831396875,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
1,0.3085657281785031,0.3934484199324989,0.312885158296206,0.2794306797079631,0.2211689258436396,0.3655426758760585,0.4727877769172585,0.1724320978311486,0.1862846713799649,0.0792273480750937,28.70325581192667,0.37062462372080857,4.669398590666788,6.273797166325577,2.7969754756419323,1.7581208863444484,0.29760288443791455,4.2750052953344255,0.40228137356666654,0.8613321484827985,0.6678655819559012,0.7677976807944873,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
2,0.3120243277642329,0.3912620319789399,0.298220850088118,0.2794807761521929,0.2499817751013847,0.2493481767933668,0.2898705251578143,0.308107843181062,0.2518280671514338,0.0455502367080193,16.445964821721553,0.2764572282045906,3.7140564442222965,21.25120547863772,7.886764474891242,3.726041503380005,0.882412172871945,9.419474310129388,0.7436930807164439,0.20573961303880015,0.34676568410738434,0.4375042814266578,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
4,0.3232162753559555,0.3871531309853275,0.3075718542211542,0.2828303765626039,0.1804144615254788,0.4320638723387509,0.1847560443656455,0.3085812542203666,0.2165599779182221,0.0597843336176508,79.54344757578039,0.646463405327722,8.100970284444566,24.616928043034385,7.399292146398315,3.778184238562223,0.713098747838771,8.23138936799079,0.6528305987533324,0.32248997167272464,0.40017861636526253,0.4579275859591746,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
5,0.3261655007012475,0.3370797852993841,0.3201553541112943,0.2794298240460106,0.2089174986828837,0.2857928386501334,0.3947233675630913,0.2676072275285133,0.2973625153354386,0.0770848345769293,28.443916264038176,0.3470195045908503,4.350015500000017,3.540804310143943,3.4905559350912068,1.4494004348333365,0.03642082338201582,2.562397016018916,0.16495785609733288,38.09943338143798,4.797267143684094,6.1709268287608925,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
8,0.3328259955946153,0.3855712094423045,0.3108972205996301,0.2897231307281782,0.1911545986810648,0.1814530716581185,0.4539091361157877,0.1279583800527564,0.3014018922964068,0.0417450705534759,364.60365068525454,1.4302654054476394,18.939064050222168,1.0795030963945846,3.0365180960798996,0.904329350333326,0.1294867429441243,4.4395290199482815,0.30545724772577704,0.8247216879209445,0.6994251146436479,0.8330441184735292,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
10,0.3445753533354218,0.3807040859285595,0.2500670385407879,0.3175603567821048,0.2239631467311355,0.3901011656814082,0.232128470254454,0.1544868492659315,0.2614222848859198,0.0594035027600664,6.447638903275251,0.17801651385787065,2.2402387780000934,5.229338833749269,3.17969406992961,1.5669542466666708,0.03751950331461899,3.148384243871706,0.15485611106044375,9.968195280918664,2.497821937813537,3.06136157758005,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
11,0.3518949794963807,0.3262089895962247,0.3259617434995778,0.278934445539966,0.1760576121652757,0.4685926051625589,0.453606757582177,0.1600313122733705,0.2509452181658376,0.0734046672084665,4.813409682307983,0.14881838758007107,1.8823649548889534,4.4731584114098615,3.87791920896423,1.6214452925266698,0.1939609779144546,4.715865992469679,0.36329707517111104,3.36131710962011,1.4464676349521166,1.7982458442290266,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
12,0.3551524181059881,0.3644961696678566,0.2850001140067897,0.3056003559257629,0.174607482436474,0.3622347417692518,0.365727548973369,0.2516639791177893,0.1701960841389764,0.0499147414941044,20.0468266690376,0.30269918861847883,4.005172647555582,5.776350332487469,3.7812571874224967,1.817209154902227,0.3424929935901121,5.23373830683613,0.4344570100135556,0.9072871587617083,0.7020010617807646,0.8130735764634949,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
14,0.3569384783863696,0.3661715437300553,0.3350188446344825,0.2548060519628761,0.2676513204344471,0.4712565902031229,0.3712059172951265,0.2162381906592114,0.1521255185758753,0.0390834709606799,42.131501521451824,0.40570479112282554,5.064960764222133,1.2984635604449641,1.3731445223550849,0.6788342662777704,0.06550911027995661,2.684609335254644,0.20191589803622206,2.924114813819803,1.1770987013579461,1.3145389141647457,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
17,0.3732735471294672,0.3048419895674736,0.2586746067106502,0.3080883516036358,0.2677545129046412,0.4798011146654375,0.4841655820500088,0.1541533462401579,0.2269618514715315,0.0795591747084602,16.448003023854895,0.28636097855652587,3.8001914242223394,1.8782472099685843,3.926976683029733,0.9529134255088924,0.19194012613726472,5.513427412129238,0.3655972378646668,1.1947912794250808,0.7674865735918096,0.8650687642803347,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
18,0.3797280593332395,0.3547784529619329,0.2775482869408947,0.2987542833857701,0.23709316586637,0.45182121082236,0.2811927898765513,0.1902642196819019,0.1818328969700312,0.0697862930875697,35.063471749648315,0.3727767617536515,4.557012520000081,0.5380886973368284,2.6117737703477513,0.6691678800400034,0.17274759050554347,4.640750493901123,0.33654314623577813,1.6877681098608988,0.9695223267440258,1.148482746515964,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
19,0.3803860686233091,0.3276526316483371,0.3143029693249359,0.2770190559090688,0.2226071922555574,0.4720810641121226,0.1776921037987144,0.3187246178700166,0.1898491401062018,0.0401909833591615,150.69679152514857,0.8487390864216385,11.54800487155553,10.768971747980626,3.7971888408230834,2.302566153924441,0.005390346379513919,1.7187748530471645,0.06656195831733278,5.692403451469255,1.7802795417989923,2.057473930455765,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
22,0.3817172715670968,0.3169502975408108,0.2863422299833966,0.2935300124306558,0.2480852037379271,0.3012021473503925,0.4216779916486442,0.2303321976629459,0.2568893920669948,0.0678770074017392,82.91518800556852,0.5051922425373178,5.955322895555492,4.424575152428837,3.948202501113586,1.7759290832066643,0.03943758554048146,2.4791179409951556,0.14635137503555465,19.062744733721132,3.4492486181644355,4.222511769588342,3.406205090224392,0.5437804112533391,1.8455907157938327,0.1786541742660619,0.07390715545572549,0.42267502205129404,True
